feature,class_axis,phoneme_class,n_follicular_days,n_luteal_days,cliffs_delta_raw,magnitude_raw,cliffs_delta_demeaned,wc_shift_jan,wc_shift_feb,wc_consistent,pdg_partial_rho,pdg_n,mann_whitney_p,bh_q
segment_f1_bandwidth_mean,phonemeBroadClass,obstruent,30,22,-0.085,negligible,-0.155,0.12,-0.759,False,0.053,29,0.6105,0.7215
segment_f1_bandwidth_mean,phonemeBroadClass,sonorant,30,22,-0.055,negligible,0.142,0.802,-0.926,False,0.139,29,0.7458,0.831
segment_f1_bandwidth_mean,phonemeHeight,high,30,22,-0.352,medium,-0.285,-0.442,-0.869,True,-0.221,29,0.0324,0.1264
segment_f1_bandwidth_mean,phonemeHeight,low,30,22,-0.118,negligible,-0.045,0.034,-1.055,False,-0.045,29,0.4758,0.5986
segment_f1_bandwidth_mean,phonemeHeight,mid,30,22,0.042,negligible,0.227,0.801,-0.691,False,0.157,29,0.8026,0.846
segment_f1_bandwidth_mean,phonemeManner,approximant,30,22,0.203,small,0.285,0.716,0.197,True,0.089,29,0.2181,0.3123
segment_f1_bandwidth_mean,phonemeManner,diphthong,30,22,0.021,negligible,0.124,0.085,-0.418,False,0.202,29,0.9042,0.9042
segment_f1_bandwidth_mean,phonemeManner,fricative,30,22,-0.212,small,-0.194,-0.747,-0.793,True,-0.326,29,0.198,0.297
segment_f1_bandwidth_mean,phonemeManner,nasal,30,22,0.055,negligible,0.145,0.935,-0.385,False,0.107,29,0.7458,0.831
segment_f1_bandwidth_mean,phonemeManner,stop,30,22,0.03,negligible,0.018,1.031,-0.693,False,0.356,29,0.8603,0.8829
segment_f1_bandwidth_mean,phonemeManner,vowel,30,22,-0.17,small,-0.03,0.311,-1.068,False,-0.004,29,0.304,0.3952
segment_f1_bandwidth_mean,phonemeVoicing,voiced,30,22,-0.042,negligible,0.139,1.069,-1.076,False,0.087,29,0.8026,0.846
segment_f1_bandwidth_mean,phonemeVoicing,voiceless,30,22,-0.1,negligible,-0.139,-0.457,-0.119,True,0.003,29,0.5472,0.6669
segment_h1h2_mean,phonemeBroadClass,obstruent,30,22,0.233,small,0.012,0.671,0.433,True,-0.27,29,0.1565,0.2654
segment_h1h2_mean,phonemeBroadClass,sonorant,30,22,0.37,medium,-0.036,0.665,0.739,True,-0.05,29,0.0244,0.119
segment_h1h2_mean,phonemeHeight,high,30,22,0.312,small,0.152,0.709,0.259,True,-0.065,29,0.0576,0.1465
segment_h1h2_mean,phonemeHeight,low,30,22,0.248,small,-0.248,0.355,0.513,True,-0.025,29,0.1312,0.2326
segment_h1h2_mean,phonemeHeight,mid,30,22,0.355,medium,0.076,0.704,0.846,True,0.084,29,0.0309,0.1264
segment_h1h2_mean,phonemeManner,approximant,30,22,0.215,small,-0.048,0.41,0.679,True,-0.077,29,0.1916,0.297
segment_h1h2_mean,phonemeManner,diphthong,30,22,0.561,large,0.312,1.157,1.142,True,0.032,29,0.0006,0.0234
segment_h1h2_mean,phonemeManner,fricative,30,22,0.197,small,-0.03,0.595,0.036,True,-0.22,29,0.2322,0.3123
segment_h1h2_mean,phonemeManner,nasal,30,22,0.197,small,-0.027,0.381,0.359,True,-0.094,29,0.2322,0.3123
segment_h1h2_mean,phonemeManner,stop,30,22,0.294,small,0.067,0.694,0.761,True,-0.118,29,0.0739,0.1695
segment_h1h2_mean,phonemeManner,vowel,30,22,0.33,medium,-0.052,0.611,0.528,True,-0.014,29,0.0445,0.1295
segment_h1h2_mean,phonemeVoicing,voiced,30,22,0.33,medium,0.118,0.765,0.712,True,-0.053,29,0.0445,0.1295
segment_h1h2_mean,phonemeVoicing,voiceless,30,22,0.227,small,-0.106,0.252,0.071,True,-0.054,29,0.1676,0.2724
segment_mfcc2_mean,phonemeBroadClass,obstruent,30,22,0.464,medium,0.003,1.287,1.436,True,0.18,29,0.0047,0.0611
segment_mfcc2_mean,phonemeBroadClass,sonorant,30,22,0.327,small,-0.033,1.428,1.243,True,0.339,29,0.0465,0.1295
segment_mfcc2_mean,phonemeHeight,high,30,22,0.261,small,-0.355,1.287,1.023,True,0.322,29,0.1133,0.2104
segment_mfcc2_mean,phonemeHeight,low,30,22,0.285,small,-0.018,1.462,0.977,True,0.415,29,0.0833,0.171
segment_mfcc2_mean,phonemeHeight,mid,30,22,0.309,small,-0.003,1.36,1.132,True,0.402,29,0.0601,0.1465
segment_mfcc2_mean,phonemeManner,approximant,30,22,0.342,medium,0.036,1.337,1.339,True,0.188,29,0.0372,0.1295
segment_mfcc2_mean,phonemeManner,diphthong,30,22,0.27,small,-0.003,1.343,1.096,True,0.384,29,0.1012,0.1973
segment_mfcc2_mean,phonemeManner,fricative,30,22,0.421,medium,-0.136,1.105,1.262,True,0.19,29,0.0103,0.0708
segment_mfcc2_mean,phonemeManner,nasal,30,22,0.497,large,0.361,1.416,1.392,True,0.316,29,0.0025,0.0488
segment_mfcc2_mean,phonemeManner,stop,30,22,0.445,medium,0.091,1.367,1.498,True,0.205,29,0.0067,0.0653
segment_mfcc2_mean,phonemeManner,vowel,30,22,0.288,small,-0.167,1.388,1.15,True,0.41,29,0.0801,0.171
segment_mfcc2_mean,phonemeVoicing,voiced,30,22,0.376,medium,0.088,1.418,1.344,True,0.363,29,0.0222,0.119
segment_mfcc2_mean,phonemeVoicing,voiceless,30,22,0.418,medium,-0.109,1.255,1.17,True,-0.012,29,0.0109,0.0708
