family,family_label,feature,base,task,pooled_shift_z,abs_shift_z,cycles_concordant,cycles_total
spectral_envelope_mfcc,Spectral envelope / timbre (MFCC),MFCC2 (low-vs-mid spectral shape),egemaps_mfcc2V_sma3nz_amean,prosody,1.337201454637905,1.337201454637905,2,2
surface_damping,Surface / damping (mucosa & closure),Alpha ratio (low-vs-high energy balance),egemaps_alphaRatioV_sma3nz_amean,prosody,-1.2951639573452827,1.2951639573452827,2,2
surface_damping,Surface / damping (mucosa & closure),H1-H2 (glottal open quotient proxy),egemaps_logRelF0-H1-H2_sma3nz_amean,vowel,1.1142864804850325,1.1142864804850325,2,2
surface_damping,Surface / damping (mucosa & closure),Harmonics-to-noise ratio (HNR),egemaps_HNRdBACF_sma3nz_amean,prosody,1.0399434754349475,1.0399434754349475,2,2
surface_damping,Surface / damping (mucosa & closure),H1-A3 (glottal source tilt),egemaps_logRelF0-H1-A3_sma3nz_amean,prosody,0.9488102562562127,0.9488102562562127,2,2
surface_damping,Surface / damping (mucosa & closure),F3 bandwidth (resonance damping),egemaps_F3bandwidth_sma3nz_amean,prosody,-0.9262086222692564,0.9262086222692564,2,2
surface_damping,Surface / damping (mucosa & closure),F2 bandwidth (resonance damping),egemaps_F2bandwidth_sma3nz_amean,vowel,0.8955736544212238,0.8955736544212238,2,2
spectral_envelope_mfcc,Spectral envelope / timbre (MFCC),MFCC3 (mid spectral detail),egemaps_mfcc3V_sma3nz_amean,prosody,0.8891756733921506,0.8891756733921506,2,2
spectral_envelope_mfcc,Spectral envelope / timbre (MFCC),MFCC2 (low-vs-mid spectral shape),egemaps_mfcc2V_sma3nz_amean,vowel,0.8711665054555888,0.8711665054555888,2,2
surface_damping,Surface / damping (mucosa & closure),Spectral slope 500-1500 Hz,egemaps_slopeV500-1500_sma3nz_amean,vowel,-0.8432710095435245,0.8432710095435245,2,2
surface_damping,Surface / damping (mucosa & closure),Alpha ratio (low-vs-high energy balance),egemaps_alphaRatioV_sma3nz_amean,vowel,-0.8060830310187193,0.8060830310187193,2,2
surface_damping,Surface / damping (mucosa & closure),Shimmer (loudness perturbation),egemaps_shimmerLocaldB_sma3nz_amean,prosody,-0.7710224517994025,0.7710224517994025,2,2
