family,feature,base,n_follicular,n_luteal,cliffs_delta,magnitude,luteal_minus_follicular,mann_whitney_p,cycles_consistent,cycles_total,fdr_q,family_label
geometric_vocal_tract,F1 frequency (vowel openness / front cavity),egemaps_F1frequency_sma3nz_amean,32,22,0.056818181818181816,negligible,-1.7529296875,0.731382439237218,1,3,0.7646270955661826,Geometric (vocal-tract shape)
geometric_vocal_tract,F2 frequency (tongue advancement / back cavity),egemaps_F2frequency_sma3nz_amean,32,22,0.11363636363636363,negligible,5.765167236328125,0.48681934911003666,3,3,0.6998028143456777,Geometric (vocal-tract shape)
geometric_vocal_tract,F3 frequency (lip rounding / fine vocal-tract shape),egemaps_F3frequency_sma3nz_amean,32,22,0.20738636363636365,small,34.8577880859375,0.20184098939741557,3,3,0.36823289072819104,Geometric (vocal-tract shape)
source_pitch,Mean pitch (F0),egemaps_F0semitoneFrom27.5Hz_sma3nz_amean,32,22,0.03977272727272727,negligible,0.17278480529785156,0.8121445451418565,0,3,0.8121445451418566,Source pitch (fold mass/tension)
source_pitch,Median pitch (F0),egemaps_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,32,22,0.06534090909090909,negligible,0.24435997009277344,0.6920308381942823,2,3,0.7646270955661826,Source pitch (fold mass/tension)
source_pitch,Low pitch (F0 20th pct),egemaps_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,32,22,0.08806818181818182,negligible,0.014073848724365234,0.5913115966200071,1,3,0.7646270955661826,Source pitch (fold mass/tension)
source_pitch,High pitch (F0 80th pct),egemaps_F0semitoneFrom27.5Hz_sma3nz_percentile80.0,32,22,-0.05965909090909091,negligible,-0.016847610473632812,0.7181804608378574,3,3,0.7646270955661826,Source pitch (fold mass/tension)
surface_damping,Jitter (pitch perturbation),egemaps_jitterLocal_sma3nz_amean,32,22,-0.08238636363636363,negligible,-0.0010058763436973095,0.6158592963002987,1,3,0.7646270955661826,Surface / damping (mucosa & closure)
surface_damping,Shimmer (loudness perturbation),egemaps_shimmerLocaldB_sma3nz_amean,32,22,-0.3068181818181818,small,-0.040263831615448,0.05842698953655879,3,3,0.199803564582759,Surface / damping (mucosa & closure)
surface_damping,Harmonics-to-noise ratio (HNR),egemaps_HNRdBACF_sma3nz_amean,32,22,0.3181818181818182,small,0.4649113416671753,0.04965798332494018,3,3,0.199803564582759,Surface / damping (mucosa & closure)
surface_damping,Alpha ratio (low-vs-high energy balance),egemaps_alphaRatioV_sma3nz_amean,32,22,-0.3039772727272727,small,-0.9794244766235352,0.060809780525187526,3,3,0.199803564582759,Surface / damping (mucosa & closure)
surface_damping,Hammarberg index (low-vs-high peak balance),egemaps_hammarbergIndexV_sma3nz_amean,32,22,0.2869318181818182,small,1.061655044555664,0.07685229516554108,3,3,0.2209503486009306,Surface / damping (mucosa & closure)
surface_damping,Spectral slope 0-500 Hz,egemaps_slopeV0-500_sma3nz_amean,32,22,-0.07670454545454546,negligible,0.0019930461421608925,0.6408444454634852,1,3,0.7646270955661826,Surface / damping (mucosa & closure)
surface_damping,Spectral slope 500-1500 Hz,egemaps_slopeV500-1500_sma3nz_amean,32,22,-0.3039772727272727,small,-0.0021754130721092224,0.060809780525187526,3,3,0.199803564582759,Surface / damping (mucosa & closure)
surface_damping,H1-H2 (glottal open quotient proxy),egemaps_logRelF0-H1-H2_sma3nz_amean,32,22,0.2585227272727273,small,0.6182794570922852,0.11111431917193369,2,3,0.28395881566160835,Surface / damping (mucosa & closure)
surface_damping,H1-A3 (glottal source tilt),egemaps_logRelF0-H1-A3_sma3nz_amean,32,22,0.32386363636363635,small,1.7724246978759766,0.045705026622774876,3,3,0.199803564582759,Surface / damping (mucosa & closure)
surface_damping,F1 bandwidth (resonance damping),egemaps_F1bandwidth_sma3nz_amean,32,22,-0.14488636363636365,negligible,-7.260986328125,0.3739892557694505,2,3,0.6144109201926687,Surface / damping (mucosa & closure)
surface_damping,F2 bandwidth (resonance damping),egemaps_F2bandwidth_sma3nz_amean,32,22,0.13068181818181818,negligible,16.12652587890625,0.42312969265002287,2,3,0.6487988620633683,Surface / damping (mucosa & closure)
surface_damping,F3 bandwidth (resonance damping),egemaps_F3bandwidth_sma3nz_amean,32,22,-0.4431818181818182,medium,-56.308929443359375,0.006190905232439779,3,3,0.14239082034611492,Surface / damping (mucosa & closure)
spectral_envelope_mfcc,MFCC1 (overall spectral balance / brightness),egemaps_mfcc1V_sma3nz_amean,32,22,0.23011363636363635,small,1.6262216567993164,0.1564362075919346,3,3,0.33798816538834037,Spectral envelope / timbre (MFCC)
spectral_envelope_mfcc,MFCC2 (low-vs-mid spectral shape),egemaps_mfcc2V_sma3nz_amean,32,22,0.3352272727272727,medium,2.6943061351776123,0.03859066382553963,3,3,0.199803564582759,Spectral envelope / timbre (MFCC)
spectral_envelope_mfcc,MFCC3 (mid spectral detail),egemaps_mfcc3V_sma3nz_amean,32,22,0.22727272727272727,small,1.606474757194519,0.16164651388138018,2,3,0.33798816538834037,Spectral envelope / timbre (MFCC)
spectral_envelope_mfcc,MFCC4 (finer envelope detail),egemaps_mfcc4V_sma3nz_amean,32,22,-0.20454545454545456,small,-2.4464430809020996,0.20813163388984712,1,3,0.36823289072819104,Spectral envelope / timbre (MFCC)
